"Gene","K","l","Day","LeuLysMet"
"AMMPPM",114.43407,10.34634,4,"MPP"
"AMPPMM",116.8091,9.95579,4,"PPM"
"BMMPPM",120.98047,11.77144,4,"MPP"
"BPPPMM",118.46734,12.1102,4,"PPM"
"BMPMMP",116.06872,13.21806,4,"PMM"
"AMMPMP",116.34401,11.94988,4,"MPM"
"APPMPP",97.49752,13.00199,4,"PMP"
"BMPMPM",114.92388,13.10725,4,"PMP"
"APMPMM",115.38258,13.23886,4,"MPM"
"APMMPP",114.24999,14.15462,4,"MMP"
"AMMMPP",101.20495,13.13366,4,"MMP"
"AMPPMM",118.68587,10.54491,4,"PPM"
"BPPMPM",98.58397,13.82384,4,"PMP"
"AMMMPP",95.62399,14.76362,4,"MMP"
"APPPMM",116.91732,12.09891,4,"PPM"
"BPPMMM",115.63556,12.00409,4,"PMM"
"BMMPMP",113.99992,12.32228,4,"MPM"
"BPMPPP",116.74339,11.40003,4,"MPP"
"BMPMPP",99.49138,13.63239,4,"PMP"
"BMPMMM",115.85942,11.50523,4,"PMM"
"APMPMM",114.06166,10.63295,4,"MPM"
"BPMPMP",114.12413,12.19629,4,"MPM"
"APMPPM",116.27611,10.70928,4,"MPP"
"AMPMPP",102.66011,12.76079,4,"PMP"
"BMPMMP",117.05007,13.28741,4,"PMM"
"APMPPM",123.37016,10.93135,4,"MPP"
"BMPMPP",119.52536,13.02435,4,"PMP"
"AMMPPM",116.85752,12.0401,4,"MPP"
"BPMPMM",115.12809,12.0175,4,"MPM"
"AMPMMP",98.5569,12.65312,4,"PMM"
"APMPMM",111.06804,15.31304,4,"MPM"
"BPMPPM",116.13406,12.03844,4,"MPP"
"IPPMPP",116.29267,12.80465,4,"PMP"
"BPPMMP",100.94514,12.95018,4,"PMM"
"AMPMPP",98.01549,13.63601,4,"PMP"
"BPPMPP",117.27353,12.47394,4,"PMP"
"BPPPMP",117.79759,10.73685,4,"PPM"
"AMMMMM",96.42356,13.03433,4,"MMM"
"BMMPMM",113.29168,13.28666,4,"MPM"
"APMPPM",115.72391,11.81683,4,"MPP"
"APMMPM",112.81465,12.36361,4,"MMP"
"BMPPMP",115.25398,11.68682,4,"PPM"
"BPMPMP",114.79934,11.70283,4,"MPM"
"BPMMMM",111.86375,13.74324,4,"MMM"
"APMPPP",115.607,9.67923,4,"MPP"
"IPPPPP",115.98273,10.43084,4,"PrPrPr"
"AMPMPM",115.47703,12.64135,4,"PMP"
"AMMMMM",96.2854,14.30651,4,"MMM"
"BMPMMM",104.21956,13.6401,4,"PMM"
"AMPPPP",125.51817,10.08848,4,"PPP"
"BMPPMP",120.58644,11.57851,4,"PPM"
"BPPMPM",118.84837,10.88268,4,"PMP"
"APMMMM",108.65746,14.74989,4,"MMM"
"APMPMP",115.44083,11.88326,4,"MPM"
"AMMPPM",118.55796,11.72458,4,"MPP"
"BMMPMM",117.51297,12.39283,4,"MPM"
"BPPMPP",93.2752,14.86953,4,"PMP"
"AMPMPM",97.68128,14.04318,4,"PMP"
"BPMMPM",95.35364,13.84015,4,"MMP"
"AMPMMP",95.80785,13.43695,4,"PMM"
"AMMPPP",117.92701,9.87864,4,"MPP"
"APMPPM",116.14483,11.539,4,"MPP"
"BMPPMP",118.12509,11.44905,4,"PPM"
"BMMMMM",94.28,13.39516,4,"MMM"
"APPMMM",115.3459,12.66077,4,"PMM"
"IPPPPP",118.10957,10.56734,4,"PrPrPr"
"BPMMMM",90.18736,14.18762,4,"MMM"
"APPPMP",118.0739,10.96799,4,"PPM"
"APMPPM",113.7395,13.10087,4,"MPP"
"BMPPMP",117.36411,11.11869,4,"PPM"
"BMPPMP",118.36941,11.69339,4,"PPM"
"AMMMPM",97.41937,14.98922,4,"MMP"
"AMPMPP",103.86728,14.31849,4,"PMP"
"BPMMPM",118.59032,13.79223,4,"MMP"
"AMMPPP",121.79049,11.74133,4,"MPP"
"APPPPM",118.37019,12.24841,4,"PPP"
"APPPMM",118.68644,11.76454,4,"PPM"
"APMPMP",117.60465,11.73881,4,"MPM"
"BMMMMP",83.54517,14.52587,4,"MMM"
"BMPMPP",89.37469,14.03887,4,"PMP"
"BPMMPM",88.82997,14.61086,4,"MMP"
"BMMMMM",95.32993,14.04222,4,"MMM"
"APMMMM",94.39737,14.09018,4,"MMM"
"BPPMMM",92.16881,14.40837,4,"PMM"
"AMMPPM",118.98326,10.95484,4,"MPP"
"BMMPMP",115.52872,12.18179,4,"MPM"
"BMPMPP",114.78816,13.51779,4,"PMP"
"AMMPPP",116.17642,13.07473,4,"MPP"
"BPPPMP",118.2055,12.04701,4,"PPM"
"APPMPM",90.82997,15.70957,4,"PMP"
