"Gene","K","l","Day","LeuLysMet"
"BPMMPM",100.81459,34.10698,26,"MMP"
"AMMPPP",120.84455,16.79637,26,"MPP"
"APPPPM",116.64333,15.45344,26,"PPP"
"APPPMM",114.07468,15.85434,26,"PPM"
"APMPMP",116.82269,13.29793,26,"MPM"
"BMMMMP",118.26531,14.73695,26,"MMM"
"BMPMPP",75.2162,20.51119,26,"PMP"
"BPMMPM",76.51376,20.84166,26,"MMP"
"BMMMMM",121.42672,12.36018,26,"MMM"
"APMMMM",92.20469,18.71848,26,"MMM"
"BPPMMM",121.06552,12.30891,26,"PMM"
"AMMPPM",114.70818,15.7333,26,"MPP"
"BMMPMP",114.97133,12.29842,26,"MPM"
"BMPMPP",117.32928,12.50836,26,"PMP"
"AMMPPP",117.06518,14.48097,26,"MPP"
"BPPPMP",115.71187,15.06588,26,"PPM"
"APPMPM",118.84685,14.45468,26,"PMP"
"BPPPMP",118.10569,13.3298,26,"PPM"
"BMPPMP",118.35024,14.0614,26,"PPM"
"AMPPMP",117.63465,14.89165,26,"PPM"
"BPMPPM",71.26328,20.95174,26,"MPP"
"AMMMPM",122.6322,12.86103,26,"MMP"
"APPMPP",81.11572,18.53968,26,"PMP"
"BPMMPM",121.04848,15.07607,26,"MMP"
"AMMMMM",131.93543,11.71175,26,"MMM"
"APPMPM",126.5323,13.13713,26,"PMP"
"APPPPM",121.34483,14.20433,26,"PPP"
"BMMMPP",122.24614,14.28435,26,"MMP"
"BMMMMP",69.08675,20.59315,26,"MMM"
"APMPMP",118.8905,13.67043,26,"MPM"
"APMPPM",93.58245,21.59604,26,"MPP"
"BMPPMM",120.1526,14.03721,26,"PPM"
"BMPMMP",120.84773,12.44947,26,"PMM"
"AMPMMM",121.20257,12.75927,26,"PMM"
"BMPPMP",118.76966,13.90574,26,"PPM"
"BPMMPP",119.64622,13.84371,26,"MMP"
"AMMMPM",121.73424,12.84704,26,"MMP"
"BPPPMM",116.60374,15.22434,26,"PPM"
"IPPPPP",117.83278,14.84802,26,"PrPrPr"
"AMMPPP",115.3172,16.60168,26,"MPP"
"APMMMM",121.89026,12.67256,26,"MMM"
"BPMMPM",59.59389,19.99996,26,"MMP"
"BPPMPP",76.40822,18.43204,26,"PMP"
"AMPPMP",118.90425,14.90244,26,"PPM"
"APPPMP",121.17375,14.86213,26,"PPM"
"BPPMMP",83.00237,18.90659,26,"PMM"
"APMPPP",116.59632,16.41348,26,"MPP"
"AMMPPM",122.74417,16.02708,26,"MPP"
"BMPPPM",133.29156,13.92985,26,"PPP"
"BMPPMP",126.35328,14.0412,26,"PPM"
"APPMPM",123.86329,13.50227,26,"PMP"
"AMMMPM",57.16778,20.98291,26,"MMP"
"BMMMMP",119.10775,13.89402,26,"MMM"
"BPMPPM",112.1144,17.01976,26,"MPP"
"BMPPPM",120.5266,14.54566,26,"PPP"
"APPMMP",121.5717,12.44657,26,"PMM"
"APMPMP",115.17626,13.29398,26,"MPM"
