"Gene","K","l","Day","LeuLysMet","pH_day","A"
"BMMPMP",108.8149,15.93509,31,"MPM","19_0503",NA
"APMPMP",115.82036,13.68334,31,"MPM","19_0503",NA
"AMMMMP",120.34579,15.25394,31,"MMM","19_0503",NA
"BPPMPM",120.4221,14.85509,31,"PMP","19_0503",NA
"APPMPM",121.50814,14.47748,31,"PMP","19_0503",NA
"AMPMPP",121.41594,14.65858,31,"PMP","19_0503",NA
"BPPPPM",122.13991,12.77063,31,"PPP","19_0503",NA
"BMMPMM",125.46259,12.63481,31,"MPM","19_0503",NA
"IPPPPP",122.8037,13.52497,31,"PrPrPr","19_0503",NA
"IPPPPP",120.73924,13.10596,31,"PrPrPr","19_0503",NA
"BPMMPM",117.27393,14.80543,31,"MMP","19_0503",NA
"IMPPPM",120.05313,12.81016,31,"PPP","19_0503",NA
"AMMMMM",113.65563,16.74168,31,"MMM","19_0503",NA
"BPPPMP",118.22103,15.99876,31,"PPM","19_0503",NA
"AMMPMM",113.57544,16.953,31,"MPM","19_0503",NA
"APMPPP",117.56803,15.32867,31,"MPP","19_0503",NA
"BMMPPM",116.03258,15.31443,31,"MPP","19_0503",NA
"AMMMMP",91.46364,20.85975,31,"MMM","19_0503",NA
"BPPMPP",119.26587,14.81719,31,"PMP","19_0503",NA
"APMPPP",117.10516,14.17362,31,"MPP","19_0503",NA
"APMMMM",114.48098,15.54733,31,"MMM","19_0503",NA
"BMPMPM",101.85727,19.96078,31,"PMP","19_0503",NA
"AMPPPP",102.61337,16.71564,31,"PPP","19_0503",NA
"BPPPMM",117.14753,13.06921,31,"PPM","19_0503",NA
"BMMPMM",115.22167,13.53429,31,"MPM","19_0503",NA
"BMPPMM",114.97858,16.58254,31,"PPM","19_0503",NA
"BPPPPM",119.64453,13.4263,31,"PPP","19_0503",NA
"IPPPPP",118.89808,14.49581,31,"PrPrPr","19_0503",NA
"AMPMPP",119.85797,15.16543,31,"PMP","19_0503",NA
"APMMMM",119.39942,15.24495,31,"MMM","19_0503",NA
"APMMMP",119.70267,13.66189,31,"MMM","19_0503",NA
"AMMMPP",123.94048,12.04524,31,"MMP","19_0503",NA
"BMPPMM",121.89338,12.98116,31,"PPM","19_0503",NA
"BMPMMP",118.84177,13.97088,31,"PMM","19_0503",NA
"APMMMM",115.65733,14.22386,31,"MMM","19_0503",NA
"APPPPM",103.8672,15.1624,31,"PPP","19_0503",NA
"APMMPP",100.61545,20.09802,31,"MMP","19_0503",NA
"BPMPMP",114.15009,15.2532,31,"MPM","19_0503",NA
"BMPPPP",118.82342,13.04668,31,"PPP","19_0503",NA
"AMMMPM",118.34592,14.67561,31,"MMP","19_0503",NA
"AMMMPM",106.95119,18.11172,31,"MMP","19_0503",NA
"BMPPPM",118.8622,13.31879,31,"PPP","19_0503",NA
"BPPPMM",114.30912,12.81775,31,"PPM","19_0503",NA
"BMMPPP",112.49407,15.43442,31,"MPP","19_0503",NA
"AMPMMP",101.12875,19.67514,31,"PMM","19_0503",NA
"APPMMM",117.94857,13.4697,31,"PMM","19_0503",NA
"BPMPPP",115.99241,13.45025,31,"MPP","19_0503",NA
"APMMMP",117.18837,14.98545,31,"MMM","19_0503",NA
"BPMMMP",114.79256,14.29045,31,"MMM","19_0503",NA
"APMMPM",115.04422,14.33369,31,"MMP","19_0503",NA
"BPPMPM",118.06402,13.45241,31,"PMP","19_0503",NA
"BMMMPM",118.24884,14.90064,31,"MMP","19_0503",NA
"AMMPPP",117.02646,15.33439,31,"MPP","19_0503",NA
"BPPPMP",118.90589,13.51622,31,"PPM","19_0503",NA
"AMPPMM",117.83298,12.29882,31,"PPM","19_0503",NA
"AMPPMP",120.3451,11.39364,31,"PPM","19_0503",NA
"APMMPM",119.52114,13.91673,31,"MMP","19_0503",NA
"AMPPMM",115.57672,12.80638,31,"PPM","19_0503",NA
"BPMPMP",114.19336,12.8957,31,"MPM","19_0503",NA
"APMMPP",115.77786,12.92948,31,"MMP","19_0503",NA
"BMPPMP",114.50995,13.15226,31,"PPM","19_0503",NA
"BMPMMP",116.45352,15.29674,31,"PMM","19_0503",NA
"BPMPMM",113.34018,12.99554,31,"MPM","19_0503",NA
"BPMPPM",114.03476,13.99451,31,"MPP","19_0503",NA
"BMMMPM",107.84875,18.51304,31,"MMP","19_0503",NA
"BMPMPM",116.8846,15.02635,31,"PMP","19_0503",NA
